id, address, lat, lng, voltage
1, address 1, 39.617, -79.92, 0
2, address 2, 39.618, -79.92, 0
3, address 3, 39.619, -79.92, 0
4, address 4, 39.62, -79.92, 0
5, address 5, 39.621, -79.92, 0
6, address 6, 39.622, -79.92, 0
7, address 7, 39.623, -79.92, 0
8, address 8, 39.624, -79.92, 0
9, address 9, 39.625, -79.92, 0
10, address 10, 39.626, -79.92, 0
11, address 11, 39.627, -79.92, 0
12, address 12, 39.628, -79.92, 0
13, address 13, 39.629, -79.92, 0
14, address 14, 39.63, -79.92, 0
15, address 15, 39.631, -79.92, 0
16, address 16, 39.632, -79.92, 0
17, address 17, 39.633, -79.92, 0
18, address 18, 39.634, -79.92, 0
19, address 19, 39.635, -79.92, 0
20, address 20, 39.636, -79.92, 0
21, address 21, 39.637, -79.92, 0
22, address 22, 39.638, -79.92, 0
23, address 23, 39.639, -79.92, 0
24, address 24, 39.64, -79.92, 0
25, address 25, 39.641, -79.92, 0
26, address 26, 39.642, -79.92, 0
27, address 27, 39.643, -79.92, 0
28, address 28, 39.644, -79.92, 0
29, address 29, 39.645, -79.92, 0
30, address 30, 39.646, -79.92, 0
31, address 31, 39.647, -79.92, 0
32, address 32, 39.648, -79.92, 0
33, address 33, 39.649, -79.92, 0
34, address 34, 39.65, -79.92, 0
35, address 35, 39.651, -79.92, 0
36, address 36, 39.652, -79.92, 0
37, address 37, 39.653, -79.92, 0
38, address 38, 39.654, -79.92, 0
39, address 39, 39.655, -79.92, 0
40, address 40, 39.656, -79.92, 0
41, address 41, 39.657, -79.92, 0
42, address 42, 39.658, -79.92, 0
43, address 43, 39.659, -79.92, 0
44, address 44, 39.66, -79.92, 0
45, address 45, 39.661, -79.92, 0
46, address 46, 39.617, -79.921, 0
47, address 47, 39.618, -79.921, 0
48, address 48, 39.619, -79.921, 0
49, address 49, 39.62, -79.921, 0
50, address 50, 39.621, -79.921, 0
51, address 51, 39.622, -79.921, 0
52, address 52, 39.623, -79.921, 0
53, address 53, 39.624, -79.921, 0
54, address 54, 39.625, -79.921, 0
55, address 55, 39.626, -79.921, 0
56, address 56, 39.627, -79.921, 0
57, address 57, 39.628, -79.921, 0
58, address 58, 39.629, -79.921, 0
59, address 59, 39.63, -79.921, 0
60, address 60, 39.631, -79.921, 0
61, address 61, 39.632, -79.921, 0
62, address 62, 39.633, -79.921, 0
63, address 63, 39.634, -79.921, 0
64, address 64, 39.635, -79.921, 0
65, address 65, 39.636, -79.921, 0
66, address 66, 39.637, -79.921, 0
67, address 67, 39.638, -79.921, 0
68, address 68, 39.639, -79.921, 0
69, address 69, 39.64, -79.921, 0
70, address 70, 39.641, -79.921, 0
71, address 71, 39.642, -79.921, 0
72, address 72, 39.643, -79.921, 0
73, address 73, 39.644, -79.921, 0
74, address 74, 39.645, -79.921, 0
75, address 75, 39.646, -79.921, 0
76, address 76, 39.647, -79.921, 0
77, address 77, 39.648, -79.921, 0
78, address 78, 39.649, -79.921, 0
79, address 79, 39.65, -79.921, 0
80, address 80, 39.651, -79.921, 0
81, address 81, 39.652, -79.921, 0
82, address 82, 39.653, -79.921, 0
83, address 83, 39.654, -79.921, 0
84, address 84, 39.655, -79.921, 0
85, address 85, 39.656, -79.921, 0
86, address 86, 39.657, -79.921, 0
87, address 87, 39.658, -79.921, 0
88, address 88, 39.659, -79.921, 0
89, address 89, 39.66, -79.921, 0
90, address 90, 39.661, -79.921, 0
91, address 91, 39.617, -79.922, 0
92, address 92, 39.618, -79.922, 0
93, address 93, 39.619, -79.922, 0
94, address 94, 39.62, -79.922, 0
95, address 95, 39.621, -79.922, 0
96, address 96, 39.622, -79.922, 0
97, address 97, 39.623, -79.922, 0
98, address 98, 39.624, -79.922, 0
99, address 99, 39.625, -79.922, 0
100, address 100, 39.626, -79.922, 0
101, address 101, 39.627, -79.922, 0
102, address 102, 39.628, -79.922, 0
103, address 103, 39.629, -79.922, 0
104, address 104, 39.63, -79.922, 0
105, address 105, 39.631, -79.922, 0
106, address 106, 39.632, -79.922, 0
107, address 107, 39.633, -79.922, 0
108, address 108, 39.634, -79.922, 0
109, address 109, 39.635, -79.922, 0
110, address 110, 39.636, -79.922, 0
111, address 111, 39.637, -79.922, 0
112, address 112, 39.638, -79.922, 0
113, address 113, 39.639, -79.922, 0
114, address 114, 39.64, -79.922, 0
115, address 115, 39.641, -79.922, 0
116, address 116, 39.642, -79.922, 0
117, address 117, 39.643, -79.922, 0
118, address 118, 39.644, -79.922, 0
119, address 119, 39.645, -79.922, 0
0, address 0, 39.646, -79.922, 0
121, address 121, 39.647, -79.922, 0
122, address 122, 39.648, -79.922, 0
123, address 123, 39.649, -79.922, 0
124, address 124, 39.65, -79.922, 0
125, address 125, 39.651, -79.922, 0
126, address 126, 39.652, -79.922, 0
127, address 127, 39.653, -79.922, 0
128, address 128, 39.654, -79.922, 0
129, address 129, 39.655, -79.922, 0
130, address 130, 39.656, -79.922, 0
131, address 131, 39.657, -79.922, 0
132, address 132, 39.658, -79.922, 0
133, address 133, 39.659, -79.922, 0
134, address 134, 39.66, -79.922, 0
135, address 135, 39.661, -79.922, 0
136, address 136, 39.617, -79.923, 0
137, address 137, 39.618, -79.923, 0
138, address 138, 39.619, -79.923, 0
139, address 139, 39.62, -79.923, 0
140, address 140, 39.621, -79.923, 0
141, address 141, 39.622, -79.923, 0
142, address 142, 39.623, -79.923, 0
143, address 143, 39.624, -79.923, 0
144, address 144, 39.625, -79.923, 0
145, address 145, 39.626, -79.923, 0
146, address 146, 39.627, -79.923, 0
147, address 147, 39.628, -79.923, 0
148, address 148, 39.629, -79.923, 0
149, address 149, 39.63, -79.923, 0
150, address 150, 39.631, -79.923, 0
151, address 151, 39.632, -79.923, 0
152, address 152, 39.633, -79.923, 0
153, address 153, 39.634, -79.923, 0
154, address 154, 39.635, -79.923, 0
155, address 155, 39.636, -79.923, 0
156, address 156, 39.637, -79.923, 0
157, address 157, 39.638, -79.923, 0
158, address 158, 39.639, -79.923, 0
159, address 159, 39.64, -79.923, 0
160, address 160, 39.641, -79.923, 0
161, address 161, 39.642, -79.923, 0
162, address 162, 39.643, -79.923, 0
163, address 163, 39.644, -79.923, 0
164, address 164, 39.645, -79.923, 0
165, address 165, 39.646, -79.923, 0
